web-scraper-order,web-scraper-start-url,link,link-href,name,runtime,releaseDate,coverImg,description,genre
"1753771461-23","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","28 Days Later","https://www.imdb.com/title/tt0289043/?ref_=chtmvm_t_78","28 Days Later","1h 53m","2002","https://m.media-amazon.com/images/M/MV5BM2I4NTI0ZGQtNGQ2ZC00ODIxLWI2N2QtMDBkNzI1NDhjYjE5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.","[{""genre"":""Body Horror""},{""genre"":""Disaster""},{""genre"":""Dystopian Sci-Fi""},{""genre"":""Monster Horror""},{""genre"":""Psychological Horror""},{""genre"":""Road Trip""},{""genre"":""Sci-Fi Epic""},{""genre"":""Zombie Horror""},{""genre"":""Drama""},{""genre"":""Horror""}]"
"1753771465-24","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Kraven the Hunter","https://www.imdb.com/title/tt8790086/?ref_=chtmvm_t_77","Kraven the Hunter","2h 7m","2024","https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.","[{""genre"":""One-Person Army Action""},{""genre"":""Superhero""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Thriller""}]"
"1753771469-25","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","I Know What You Did Last Summer","https://www.imdb.com/title/tt0119345/?ref_=chtmvm_t_76","I Know What You Did Last Summer","1h 41m","1997","https://m.media-amazon.com/images/M/MV5BOGE1MmMxZDMtYzkyYS00N2EzLTgxYWItNWZiN2NmMzZiZTNmXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg","Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.","[{""genre"":""Slasher Horror""},{""genre"":""Teen Horror""},{""genre"":""Whodunnit""},{""genre"":""Horror""},{""genre"":""Mystery""}]"
"1753771473-26","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Godfather","https://www.imdb.com/title/tt0068646/?ref_=chtmvm_t_75","The Godfather","2h 55m","1972","https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","[{""genre"":""Epic""},{""genre"":""Gangster""},{""genre"":""Tragedy""},{""genre"":""Crime""},{""genre"":""Drama""}]"
"1753771476-27","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Heretic","https://www.imdb.com/title/tt28015403/?ref_=chtmvm_t_74","Heretic","1h 51m","2024","https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.","[{""genre"":""Psychological Horror""},{""genre"":""Psychological Thriller""},{""genre"":""Horror""},{""genre"":""Thriller""}]"
"1753771480-28","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Anora","https://www.imdb.com/title/tt28607951/?ref_=chtmvm_t_73","Anora","2h 19m","2024","https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.","[{""genre"":""Dark Comedy""},{""genre"":""Raunchy Comedy""},{""genre"":""Steamy Romance""},{""genre"":""Comedy""},{""genre"":""Drama""},{""genre"":""Romance""}]"
"1753771484-29","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Drop","https://www.imdb.com/title/tt32149847/?ref_=chtmvm_t_72","Drop","1h 35m","2025","https://m.media-amazon.com/images/M/MV5BOWUyOTNlMjItNWUyZC00ZGJiLTg3MDMtODJmMGQyMGY3NzU3XkEyXkFqcGc@._V1_QL75_UX190_CR0,10,190,281_.jpg","A widowed mother's first date in years takes a terrifying turn when she's bombarded with anonymous threatening messages on her phone during their upscale dinner, leaving her questioning if her charming date is behind the harassment.","[{""genre"":""Whodunnit""},{""genre"":""Drama""},{""genre"":""Mystery""},{""genre"":""Thriller""}]"
"1753771487-30","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","40 Acres","https://www.imdb.com/title/tt29634843/?ref_=chtmvm_t_71","40 Acres","1h 53m","2024","https://m.media-amazon.com/images/M/MV5BOTRmZTIzMzQtZDQwOS00NGM5LWI1YTItMTc0MjE0NjczMDhlXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources.","[{""genre"":""Action""},{""genre"":""Drama""},{""genre"":""Sci-Fi""},{""genre"":""Thriller""}]"
"1753771491-31","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Dark Knight","https://www.imdb.com/title/tt0468569/?ref_=chtmvm_t_70","The Dark Knight","2h 32m","2008","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","[{""genre"":""Action Epic""},{""genre"":""Epic""},{""genre"":""Superhero""},{""genre"":""Tragedy""},{""genre"":""Action""},{""genre"":""Crime""},{""genre"":""Drama""},{""genre"":""Thriller""}]"
"1753771494-32","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Locked","https://www.imdb.com/title/tt26671996/?ref_=chtmvm_t_69","Locked","1h 35m","2025","https://m.media-amazon.com/images/M/MV5BZjg2NDFhZDEtYzZlZC00ZTRkLTg4NDctYjIwNTQxYWY4ODFiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","A thief breaking into a luxury SUV realizes that he has slipped into a sophisticated game of psychological horror.","[{""genre"":""Psychological Thriller""},{""genre"":""Thriller""}]"
